Generacion:4 | Hora:[13, 17, 21] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[13, 17, 21] | Puntuacion:0
Generacion:4 | Hora:[13, 24, 22] | Puntuacion:0.6004999876022339
Generacion:4 | Hora:[13, 38, 42] | Puntuacion:0.820900022983551
Generacion:4 | Hora:[13, 38, 42] | Puntuacion:0
Generacion:4 | Hora:[13, 52, 0] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[14, 27, 35] | Puntuacion:0.7508000135421753
Generacion:4 | Hora:[14, 43, 15] | Puntuacion:0.7455999851226807
Generacion:4 | Hora:[14, 43, 15] | Puntuacion:0
Generacion:4 | Hora:[14, 51, 15] | Puntuacion:0.7332000136375427
Generacion:4 | Hora:[15, 5, 37] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[15, 18, 44] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[16, 25, 22] | Puntuacion:0.7197999954223633
Generacion:4 | Hora:[16, 37, 11] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[16, 50, 21] | Puntuacion:0.09989999979734421
Generacion:4 | Hora:[16, 56, 36] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[17, 9, 32] | Puntuacion:0.6008999943733215
Generacion:4 | Hora:[18, 0, 12] | Puntuacion:0.7870000004768372
Generacion:4 | Hora:[18, 0, 12] | Puntuacion:0
Generacion:4 | Hora:[18, 6, 8] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[18, 14, 19] | Puntuacion:0.7540000081062317
Generacion:4 | Hora:[18, 36, 9] | Puntuacion:0.7501999735832214
Generacion:4 | Hora:[18, 42, 56] | Puntuacion:0.6380000114440918
Generacion:4 | Hora:[18, 51, 49] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[18, 54, 57] | Puntuacion:0.10000000149011612
Generacion:4 | Hora:[19, 2, 41] | Puntuacion:0.6983000040054321
Generacion:4 | Hora:[19, 29, 5] | Puntuacion:0.7559000253677368
