Generacion:4 | Hora:[10, 48, 15] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[11, 15, 27] | Puntuacion:0.17270000278949738
Generacion:4 | Hora:[11, 42, 35] | Puntuacion:0.41179999709129333
Generacion:4 | Hora:[11, 58, 54] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[12, 59, 41] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[13, 19, 57] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[13, 48, 37] | Puntuacion:0.3677999973297119
Generacion:4 | Hora:[14, 1, 43] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 26, 53] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 40, 51] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 58, 13] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[15, 51, 10] | Puntuacion:0.367000013589859
Generacion:4 | Hora:[16, 5, 45] | Puntuacion:0.03519999980926514
Generacion:4 | Hora:[16, 11, 53] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[16, 11, 53] | Puntuacion:0
Generacion:4 | Hora:[16, 27, 28] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[16, 42, 48] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[17, 24, 18] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[17, 36, 43] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[17, 43, 46] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[17, 47, 18] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[17, 54, 14] | Puntuacion:0.012400000356137753
Generacion:4 | Hora:[17, 58, 14] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[18, 6, 37] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[18, 6, 37] | Puntuacion:0
Generacion:4 | Hora:[18, 30, 39] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[18, 42, 19] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[18, 44, 51] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[19, 53, 12] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[20, 0, 10] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[20, 38, 41] | Puntuacion:0.1688999980688095
Generacion:5 | Hora:[20, 41, 4] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[21, 0, 50] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[21, 23, 48] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[21, 43, 58] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[21, 50, 20] | Puntuacion:0.10729999840259552
Generacion:5 | Hora:[21, 54, 21] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[21, 59, 36] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[22, 18, 54] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[22, 26, 11] | Puntuacion:0.009999999776482582
