Generacion 21
---------------
		--------Poblacion: ---------
Individuo 0: 0.5515999794006348 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 2, 8, 5, 6, 1, 9, 4, 10, 3, 7, 2, 1, 1, 7, 1, 1, 1, 4, 1, 1, 1] 
Individuo 1: 0.5440999865531921 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 2, 8, 3, 6, 1, 9, 4, 10, 5, 7, 2, 1, 1, 7, 1, 1, 1, 4, 1, 1, 1] 
Individuo 2: 0.5440999865531921 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 2, 8, 3, 6, 1, 9, 4, 10, 5, 7, 2, 1, 1, 7, 1, 1, 1, 4, 1, 1, 1] 
Individuo 3: 0.5440999865531921 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 2, 8, 3, 6, 1, 9, 4, 10, 5, 7, 2, 1, 1, 7, 1, 1, 1, 4, 1, 1, 1] 
Individuo 4: 0.5425999760627747 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 2, 2, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3, 1, 3, 1, 2, 1, 1, 2, 8, 5, 6, 4, 7, 3, 9, 10, 1, 3, 1, 1, 1, 2, 1, 1, 7, 1, 1, 1] 
Individuo 5: 0.5425999760627747 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 2, 2, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3, 1, 3, 1, 2, 1, 1, 2, 8, 5, 6, 4, 7, 3, 9, 10, 1, 3, 1, 1, 1, 2, 1, 1, 7, 1, 1, 1] 
Individuo 6: 0.5424000024795532 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 3, 2, 2, 1, 2, 3, 1, 1, 3, 3, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 2, 6, 5, 7, 1, 9, 4, 10, 3, 8, 2, 1, 1, 7, 1, 1, 1, 4, 1, 1, 1] 
Individuo 7: 0.5393000245094299 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 3, 3, 1, 1, 2, 3, 1, 1, 3, 1, 3, 1, 1, 2, 8, 5, 7, 1, 10, 9, 3, 4, 6, 2, 1, 1, 7, 3, 1, 3, 7, 1, 1, 1] 
Individuo 8: 0.5379999876022339 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2, 3, 1, 1, 3, 3, 1, 1, 2, 3, 3, 1, 3, 1, 2, 1, 1, 2, 6, 5, 8, 9, 7, 3, 10, 4, 1, 3, 1, 1, 1, 2, 1, 1, 7, 1, 1, 1] 
Individuo 9: 0.5368000268936157 || [4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 3, 3, 1, 1, 2, 3, 1, 1, 3, 1, 3, 1, 1, 2, 8, 5, 6, 9, 10, 1, 7, 3, 4, 2, 1, 1, 7, 3, 1, 3, 7, 1, 1, 1] 
